#Pokemon		Hp	Min	Max	Types			Exp	Pokedex		Items			Evolutions
Bulbasaur		25	2	6	Grass|Poison		10	1		0			Ivysaur@Level:16
Ivysaur			35	4	9	Grass|Poison		15	2		0			Venusaur@Level:32
Venusaur		42	7	11	Grass|Poison		21	3		0			Mega Venusaur@Item:Venusaurite
Mega Venusaur		50	11	18	Grass|Poison		40	3M		0			null
Charmander		23	2	7	Fire			10	4		0			Charmeleon@Level:16
Charmeleon		29	5	10	Fire			14	5		0			Charizard@Level:32
Charizard		34	11	16	Fire|Flying		20	6		0			Mega Charizard Y@Item:Charizardite Y|Mega Charizard X@Item:Charizardite X
Mega Charizard X	50	13	19	Fire|Dragon		38	6MX		0			null
Mega Charizard Y	42	16	25	Fire|Flying		39	6MY		0			null
Squirtle		24	3	6	Water			10	7		0			Wartortle@Level:16
Wartortle		34	5	9	Water			16	8		0			Blastoise@Level:32
Blastoise		41	8	11	Water			25	9		0			Mega Blastoise@Item:Blastoisinite
Mega Blastoise		49	12	18	Water			45	9M		0			null
Caterpie		20	1	3	Bug			1	10		0			Metapod@Level:7
Metapod			25	0	4	Bug			4	11		0			Butterfree@Level:10
Butterfree		30	3	6	Bug|Flying 		6 	12		0			null
Weedle			20	1	3	Bug			1	13		0			Kakuna@Level:7
Kakuna			25	0	4	Bug			5	14		0			Beedrill@Level:10
Beedrill		30	3	6	Bug|Poison		7	15		0			Mega Beedrill@Item:Beedrillite
Mega Beedrill		45	10	20	Bug|Poison		10	15M		0			null
Pidgey			23	2	3	Normal|Flying		2	16		0			Pidgetto@Level:18
Pidgetto		30	3	6	Normal|Flying		4	17		0			Pidgeot@Level:36
Pidgeot			35	4	7	Normal|Flying		5	18		0			Mega Pidgeot@Item:Pidgeotite
Mega Pidgeot		50	12	23	Normal|Flying		11	18M		0			null
Rattata			21	1	2	Normal			1	19		0			Raticate@Level:20
Alolan Rattata		18	2	5	Dark|Normal		5	19A		0			Alolan Raticate@Level:20
Raticate		25	2	4	Normal			3	20		0			null
Alolan Raticate		22	4	8	Dark|Normal		10	20A		0			null
Spearow			19	1	4	Normal|Flying		2	21		0			Fearow@Level:20
Fearow			21	4	7	Normal|Flying		5	22		0			null
Ekans			21	1	4	Poison			2	23		0			Arbok@Level:22
Arbok			23	3	6	Poison			4	24		0			null
Pikachu			18	4	7	Electric		3	25		0			Alolan Raichu@ItemRegion:Thunder Stone:Alola|Raichu@Item:Thunder Stone
Raichu			25	8	10	Electric		7	26		0			null
Alolan Raichu		30	8	12	Electric|Psychic	10	26A		0			null
Sandshrew		24	1	5	Ground			2	27		0			Sandslash@Level:22
Alolan Sandshrew	32	1	4	Ice|Steel		4	27A		0			Alolan Sandslash@Level:22
Sandslash		28	3	6	Ground			6	28		0			null
Alolan Sandslash	40	4	8	Ice|Steel		10	28A		0			null
Nidoran (Diþi)		25	2	5	Poison			3	29		0			Nidorina@Level:16
Nidorina		32	4	7	Poison			6	30		0			Nidoqueen@Item:Moon Stone
Nidoqueen		37	7	11	Poison|Ground		10	31		0			null
Nidoran (Erkek)		22	3	6	Poison			3	32		0			Nidorino@Level:16
Nidorino		29	5	9	Poison			6	33		0			Nidoking@Item:Moon Stone
Nidoqking		33	11	14	Poison|Ground		10	34		0			null
Clefairy		20	1	2	Fairy			3	35		0			Clefable@Item:Moon Stone
Clefable		30	4	6	Fairy			7	36		0			null
Vulpix			23	1	7	Fire			3	37		0			Ninetales@Item:Fire Stone
Alolan Vulpix		28	1	5	Ice			5	37A		0			Alolan Ninetales@Item:Ice Stone
Ninetales		28	5	11	Fire			10	38		0			null
Alolan Ninetales	35	4	9	Ice			15	38A		0			null
Jigglypuff		24	0	1	Normal|Fairy		1	39		0			Wigglytuff@Item:Moon Stone
Wigglytuff		30	0	5	Normal|Fairy		2	40		0			null
Zubat			20	3	6	Poison|Flying		2	41		0			Golbat@Level:22
Golbat			23	4	7	Poison|Flying		4	42		0			Crobat@Friendship
Oddish			22	2	5	Grass|Poison		4	43		0			Gloom@Level:21
Gloom			30	4	9	Grass|Poison		8	44		0			Vileplume@Item:Leaf Stone|Bellossom@Item:Sun Stone
Vileplume		33	5	10	Grass|Poison		10	45		0			null
Paras			18	1	3	Bug|Grass		2	46		0			Parasect@Level:24
Parasect		20	2	4	Bug|Grass		3	47		0			null
Venonat			19	3	5	Bug|Poison		2	48		0			Venomoth@Level:31
Venomoth		22	4	6	Bug|Poison		4	49		0			null
Diglett			13	5	10	Ground			3	50		0			Dugtrio@Level:26
Alolan Diglett		20	5	10	Ground|Steel		7	50A		0			Alolan Dugtrio@Level:26
Dugtrio			15	10	18	Ground			10	51		0			null
Alolan Dugtrio		30	10	18	Ground|Steel		15	51A		0			null
Meowth			15	1	3	Normal			1	52		0			Persian@Level:28
Alolan Meowth		15	3	8	Dark			5	52A		0			Alolan Persian@Level:28
Persian			20	2	4	Normal			3	53		0			null
Alolan Persian		20	4	10	Dark			10	53A		0			null
Psyduck			10	5	7	Water			2	54		0			Golduck@Level:33
Golduck			20	6	9	Water			5	55		0			null
Mankey			13	5	6	Fighting		5	56		0			Primeape@Level:28
Primeape		25	10	12	Fighting		12	57		0			null
